NO CLIENTE,NÚMERO DE PEDIDO,NOMBRE DEL CLIENTE,DESTINO,FECHA DE ENVÍO,PROMESA DE ENTREGA,FECHA DE ENTREGA REAL,FLETERA,NÚMERO DE GUÍA,COSTO DE LA GUÍA,CANTIDAD DE CAJAS,COMENTARIOS
C07268,233264,CITY EXPRESS GUSTAVO BAZ (CEBAZ),"TLANEPANTLA, MEX",12/01/2026,14/01/2026,00/01/1900,EXXPREZO,0,0,5,Sin Informacion
C01920,233265,CITY PLUS REFORMA DEL ANGEL (CEANG),"MEXICO, CMX",12/01/2026,14/01/2026,00/01/1900,EXXPREZO,0,0,21,Sin Informacion
C07323,233266,CITY EXPRESS TIJUANA RIO (CETIR),"TIJUANA, BC",12/01/2026,19/01/2026,00/01/1900,TRES GUERRAS,0,0,19,Sin Informacion
C07245,233267,CITY EXPRESS TUXPAN (CETXP),"TUXPAN, VER",12/01/2026,15/01/2026,00/01/1900,TRES GUERRAS,0,0,10,Sin Informacion
C07215,233269,CITY SUITES ANZURES (CSANZ),"CIUDAD DE MEXICO, CMX",12/01/2026,14/01/2026,00/01/1900,SOLO FACTURA,NA,NA,1,Sin Informacion
C07215,233270,CITY SUITES ANZURES (CSANZ),"CIUDAD DE MEXICO, CMX",12/01/2026,14/01/2026,00/01/1900,EXXPREZO,0,0,8,Sin Informacion
C07242,233271,CITY EXPRESS SALAMANCA (CESLM),"SALAMANCA, GTO",12/01/2026,14/01/2026,00/01/1900,SOLO FACTURA,NA,NA,4,Sin Informacion
C07242,233272,CITY EXPRESS SALAMANCA (CESLM),"SALAMANCA, GTO",12/01/2026,14/01/2026,00/01/1900,TRES GUERRAS,0,0,4,Sin Informacion
C03073,233273,COURTYARD MARRIOTT SAN LUIS POTOSI A0152894,"SAN LUIS POTOSI, SLP",12/01/2026,14/01/2026,00/01/1900,EXXPREZO,0,0,20,Sin Informacion
C01712,233274,CITY EXPRESS CIUDAD JUAREZ(CECJS) / JIPJUA,"JUAREZ, CHI",12/01/2026,15/01/2026,00/01/1900,TINY PACK,0,0,10,Sin Informacion
C07221,233275,CITY JUNIOR TIJUANA OTAY (CJTIO),"TIJUANA, BC",12/01/2026,19/01/2026,00/01/1900,TRES GUERRAS,0,0,13,Sin Informacion
C01345,233276,MOTEL NUIT,"TLAJOMULCO DE ZUÑIGA, JAL",12/01/2026,14/01/2026,00/01/1900,LOCAL,NA,NA,21,Sin Informacion
C09599,233277,COMFORT INN MORELIA,"MORELIA, MCH",12/01/2026,15/01/2026,00/01/1900,TRES GUERRAS,0,0,13,Sin Informacion
C09599,233278,COMFORT INN MORELIA,"MORELIA, MCH",12/01/2026,15/01/2026,00/01/1900,SIN HISTORIAL,0,0,8,Sin Informacion
C01774,233279,HOTEL STORE PUERTO VALLARTA,"BAHIA DE BANDERAS, NAY",12/01/2026,14/01/2026,00/01/1900,SANCHEZ,0,0,136,Sin Informacion
C09631,233280,MARIA DE LOS DOLORES CREEL NORIEGA,"CUAJIMALPA DE MORELOS, CMX",12/01/2026,14/01/2026,00/01/1900,SOLO FACTURA,NA,NA,1,Sin Informacion
C02081,233281,EMPORIO ZACATECAS,"ZACATECAS, ZAC",12/01/2026,15/01/2026,00/01/1900,TRES GUERRAS,0,0,,Sin Informacion
C05818,233282,RAMADA ENCORE PUEBLA A0191476,"CORONANGO, PUE",12/01/2026,14/01/2026,00/01/1900,TRES GUERRAS,,,,Sin Informacion
C01722,233283,CITY EXPRESS MEXICALI (CEMXL),"MEXICALI, BC",12/01/2026,19/01/2026,00/01/1900,TRES GUERRAS,,,,Sin Informacion
C06042,233284,HOTEL VILLAMAR PRINCESA,"ACAPULCO, GRO",12/01/2026,15/01/2026,00/01/1900,TRES GUERRAS,,,,Sin Informacion
